WT	DELC
0.51	0.12
0.91	0.08
0.41	0.18
0.314	0.154
0.3	0.188
0.295	0.199
0.311	0.202
0.3285	0.208
0.4254	0.189
0.61	0.65
0.38	0.31
0.46	0.289
0.33	0.273
0.52	0.291
0.65	0.308
0.64	0.319
0.58	0.316
0.63	0.246
0.472	0.204
0.56	0.17
0.43268	0.1265
0.6323	0.296
0.612	0.321
0.607	0.353
0.614	0.365
0.589	0.378
0.571	0.51
0.41	0.368
0.625	0.36
0.673	0.27
0.608	0.3736
0.561	0.3
0.566	0.35
0.99	0.67
0.47	0.31
0.46	0.18
0.41	0.2142
0.46	0.32
0.71	0.333
0.58	0.21
0.67	0.31
0.93	0.39
0.97	0.74
0.65	0.27
